age,workclass,educ_level,marital_status,occupation,relationship,race,gender,hours_per_wk,us_native,over_50k
19,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,15,Yes,No
22,Private,10,Never-married,Adm-clerical,Own-child,White,Male,35,Yes,No
29,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Yes,Yes
55,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Yes,Yes
37,Private,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,40,No,No
22,Private,9,Never-married,Adm-clerical,Own-child,White,Male,40,Yes,No
38,Private,9,Separated,Other-service,Own-child,White,Male,35,Yes,No
35,Private,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,60,Yes,Yes
53,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,70,Yes,No
38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,Yes,Yes
19,State-gov,10,Never-married,Prof-specialty,Own-child,White,Male,40,Yes,No
48,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Yes,Yes
21,Unknown,10,Never-married,,Own-child,White,Male,75,Yes,No
47,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,Yes,Yes
24,Private,12,Married-civ-spouse,Sales,Own-child,White,Female,20,Yes,No
32,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,Yes,Yes
50,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,Yes,Yes
39,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Yes,No
39,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,80,Yes,No
26,Private,7,Never-married,Transport-moving,Not-in-family,Black,Male,40,Yes,No
50,Private,9,Separated,Adm-clerical,Other-relative,White,Female,40,Yes,No
44,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,Yes,No
20,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,Yes,No
31,Private,12,Never-married,Tech-support,Own-child,White,Male,45,Yes,No
31,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Yes,No
36,Private,9,Divorced,Prof-specialty,Unmarried,Black,Female,50,Yes,No
40,Private,6,Never-married,Other-service,Unmarried,Black,Female,40,Yes,No
58,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,Yes
51,Private,10,Divorced,Prof-specialty,Unmarried,White,Female,40,Yes,No
48,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,40,Yes,Yes
