bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yrs_old,assess_cd,price
5,5,8000,23985,2,3,6,11,5350000
5,5.75,9200,35069,2,3,14,3,5570000
3,1,1600,16868,1,3,69,6,670000
5,5.5,6640,40014,2,3,11,2,4500000
4,5.5,7080,16573,2,3,7,7,4000000
3,2,2310,10525,2,5,50,4,627000
5,5.5,7050,42840,1,4,37,9,3800000
5,4.5,10040,37325,2,3,75,9,7062500
3,1.75,1610,7900,1,4,55,5,430000
3,1,1180,5650,1,3,60,9,221900
3,2.25,2570,7242,2,3,64,5,538000
2,1,770,10000,1,3,82,9,180000
4,3,1960,5000,1,5,50,7,604000
3,2,1680,8080,1,3,28,10,510000
4,4.5,5420,101930,1,3,14,8,1225000
3,2.25,1715,6819,2,3,20,11,257500
3,1.5,1060,9711,1,3,52,7,291850
3,1,1780,7470,1,3,55,7,229500
3,2.5,1890,6560,2,3,12,7,323000
3,2.5,3560,9796,1,3,50,3,662500
2,1,1160,6000,1,4,73,4,468000
3,1,1430,19901,1.5,4,88,8,310000
3,1.75,1370,9680,1,4,38,7,400000
5,2,1810,4850,1.5,3,115,2,530000
4,3,2950,5000,2,3,36,1,650000
3,2,1890,14040,2,3,21,9,395000
4,1,1600,4300,1.5,4,99,1,485000
2,1,1200,9850,1,4,94,8,189000
3,1,1250,9774,1,4,46,6,230000
4,1.75,1620,4980,1,4,68,4,385000
3,2.75,3050,44867,1,3,47,11,2000000
5,2.5,2270,6300,2,3,20,4,285000
2,1.5,1070,9643,1,3,30,7,252700
3,2.25,2450,6500,2,4,30,5,329000
3,2,1710,4697,1.5,5,74,6,233000
3,1.75,2450,2691,2,3,100,12,937000
3,1,1400,1581,1.5,5,106,9,667000
3,1.75,1520,6380,1,3,67,10,438000
4,2.5,2570,7173,2,3,10,12,719000
3,2.5,2320,3980,2,3,12,2,580500
2,1.5,1190,1265,3,3,10,7,280000
4,1.75,,5000,1.5,4,86,8,687500
3,1,1090,3000,1.5,4,86,5,535000
4,2.75,2060,6659,1,3,34,4,322500
3,2.5,2300,3060,1.5,3,85,5,696000
4,1,1660,34848,1,1,82,6,550000
4,2,2360,6000,2,4,111,6,640000
