num_critic_for_reviews,duration,director_facebook_likes,lead_actor_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,aspect_ratio,movie_facebook_likes,imdb_score_high
86,130,39,2000,9589875,16673,5162,0,45,4.00E+07,2008,2.35,0,1
101,92,16,3000,17596256,12399,6327,1,84,3.50E+07,2010,1.85,0,0
813,164,22000,27000,448130642,1144337,106759,0,2701,2.50E+08,2012,2.35,164000,1
110,106,80,2000,43853424,35514,5024,1,114,1.80E+07,2011,2.35,15000,1
63,104,835,18000,6401336,36996,19923,2,153,2500000,1991,1.78,0,1
149,104,20,3000,6670712,27301,3825,6,101,6.00E+06,2009,1.85,0,1
82,87,0,2000,6291602,8070,3954,0,91,5.00E+07,2000,1.85,255,0
54,120,36,886,52929168,82743,3280,1,201,1.10E+07,1992,1.85,7000,1
60,94,87,87,36830,3291,256,0,63,1400000,2004,1.85,400,0
37,89,0,690,15655665,9104,2135,2,112,4.00E+06,2006,1.33,110,0
84,135,134,4000,16929123,21406,6214,2,169,1.40E+07,2001,1.85,0,0
251,133,0,11000,148734225,298590,12874,2,559,3.00E+07,2007,1.85,0,0
122,87,29,427,27972410,114692,1461,1,285,3.50E+07,2003,1.85,2000,0
201,144,2000,680,61644321,148238,2523,0,529,8.80E+07,2005,2.35,0,1
113,104,63,67,19406406,7630,152,0,42,4.00E+07,2009,2.35,0,1
95,127,96,746,14378353,12375,2393,1,194,3.60E+07,1999,2.35,846,0
166,111,0,856,9525276,60156,3309,0,299,2.00E+07,2007,2.35,0,0
81,92,41,1000,104148781,49486,4050,1,116,6.00E+07,2003,1.85,886,0
150,124,0,723,19719930,42621,793,0,531,4.50E+07,2001,2.35,0,0
60,103,35,548,1420578,4894,2389,0,122,1900000,2003,2.35,298,0
539,124,364,11000,89021735,387436,22004,0,892,1.20E+08,2013,2.35,71000,0
69,132,333,380,274299,11077,1429,2,55,1.03E+08,2002,1.85,0,1
78,96,38,363,198407,10282,774,1,78,2.00E+06,2006,1.85,474,0
61,87,129,979,64172251,19079,2911,1,122,3.00E+07,2001,1.85,602,0
313,151,563,40000,423032628,522040,48486,2,1832,2.25E+08,2006,2.35,5000,1
412,122,0,14000,17750583,93548,28933,0,307,3.00E+07,2015,2.35,23000,1
231,93,132,434,17536788,49240,1183,2,142,8.00E+06,2013,1.85,12000,1
61,202,0,18000,48169908,63923,20143,0,156,3.30E+07,1992,1.85,0,1
158,113,47,21000,19057024,113963,22088,0,361,1.60E+07,2010,1.85,24000,1
86,84,33,1000,21176322,23747,5039,0,207,4.00E+07,2004,2.35,0,0
284,110,763,15000,83503161,138190,16691,1,405,7.50E+07,2011,1.85,30000,0
190,123,488,5000,26838389,58658,12700,0,495,5.70E+07,2005,1.85,0,0
156,95,25,989,108012170,24089,2558,0,82,6.30E+07,2011,1.85,0,0
502,146,508,34000,424645577,498397,49355,1,706,1.30E+08,2013,2.35,82000,1
115,99,766,595,274385,29203,1519,3,26,4.00E+06,2009,1.85,0,1
236,110,168,3000,39825798,295375,4210,3,645,1.60E+07,2006,1.85,15000,1
29,82,82,2000,12996,1938,3905,0,54,1.00E+06,2000,1.85,210,0
66,94,13,925,42672630,27580,3423,1,172,1.70E+07,2003,2.35,0,0
215,178,16000,13000,107930000,1324680,16557,1,2195,8.00E+06,1994,2.35,45000,1
10,80,18,742,669276,2541,1088,0,47,2.80E+07,1993,2.35,408,1
165,108,0,16000,25753840,219091,23296,2,592,1.90E+07,1996,1.85,12000,1
60,96,8,533,42660000,25086,1254,0,87,1.70E+07,1993,1.85,1000,0
172,101,222,1000,327919,99177,3282,0,192,1500000,2006,1.85,11000,1
210,128,160,8000,4018695,69759,8532,2,235,1.20E+07,2010,2.35,27000,1
202,108,0,22000,13060843,149528,26050,0,454,1.50E+07,2002,2.35,0,1
168,87,0,22000,8579684,89547,24324,0,199,9.00E+06,2007,1.85,0,1
46,86,10,189,535249,3467,768,0,13,3400000,2010,1.85,974,0
454,114,77,19000,91121452,467613,20295,1,608,1.40E+07,2014,2.35,165000,1
185,154,776,10000,306124059,430055,16785,0,856,7.50E+07,1996,2.35,16000,0
226,93,31,4000,238371987,138661,4628,2,173,1.65E+08,2010,2.35,0,0
50,115,49,116,30127963,12596,525,0,64,1.50E+07,2014,1.85,0,0
303,136,3000,14000,42615685,136093,28927,3,416,4.00E+07,2014,2.35,24000,0
198,120,0,23000,5484375,84641,24270,0,205,1.00E+07,2006,1.85,0,1
179,90,37,11000,24809547,74875,15710,1,115,5.00E+06,2011,1.85,11000,0
120,123,277,11000,105264608,239752,25697,0,406,6.00E+07,1994,1.85,11000,1
174,96,126,18000,88915214,163665,22436,2,169,3.80E+07,2009,2.35,9000,0
149,135,36,894,31111260,77029,1439,0,466,6.00E+07,2003,2.35,0,0
493,110,1000,13000,171031347,240962,25964,0,724,3.80E+07,2010,2.35,36000,1
83,124,105,24000,54910560,88225,38227,0,227,6.00E+07,1997,2.35,0,0
399,88,115,1000,1024175,82331,2011,6,297,1.30E+07,2011,2.35,18000,0
59,91,13,452,17843379,14904,1760,2,147,8.00E+06,1999,1.85,0,0
453,124,4000,21000,312057433,522371,48638,4,723,2.00E+08,2010,2.35,18000,0
248,206,0,12000,34293771,138863,24598,3,1390,1.55E+08,2004,2.35,0,0
538,150,14000,23000,182204440,197412,25517,0,720,6.50E+07,2012,2.35,71000,1
124,86,84,680,992238,16349,763,0,103,1700000,2004,1.85,869,0
50,122,589,848,33451479,17068,1164,0,215,5.00E+05,2008,1.85,0,0
59,88,6,302,2073984,4743,663,1,135,8.00E+05,2002,1.85,219,1
270,101,36,7000,59889948,355810,7227,1,889,8.00E+06,2006,2.35,15000,1
105,109,0,49000,8355815,34730,52885,2,341,5.50E+07,2002,1.85,0,0
391,109,0,1000,26236603,251349,1582,0,547,6.00E+06,2008,2.35,10000,1
31,116,500,12000,1292527,3536,14579,2,44,1.90E+07,1996,1.85,228,0
20,120,3,984,3773863,4583,2563,1,55,1.00E+06,2009,2.35,0,1
326,133,131,8000,124868837,249688,10565,0,548,1.20E+07,2014,1.85,93000,1
195,122,22,186,3950029,12411,416,0,89,4.00E+06,2010,2.35,0,1
129,74,11,340,60507228,27543,814,0,186,8.00E+07,1999,1.78,607,1
75,89,53,227,27281507,33850,534,0,147,1.20E+07,1992,1.85,0,1
231,120,19,26000,47952020,37750,46719,2,134,1.15E+08,2016,2.35,16000,0
228,108,174,730,32048809,94463,2160,0,576,3.00E+07,2005,1.85,0,0
214,112,123,14000,39235088,193962,16196,0,805,2.30E+07,2000,2.35,5000,1
