name,text
Barry,"""This will not change until the politics change."" —President Obama on gun violence #DoSomething http://t.co/kqz7WIShnh"
Barry,"""And with that, I just have two more words to say—Obama out."" —President Obama at the #WHCD

Don't miss this: https://t.co/T4YNBb30zJ"
Don,"A very big Caravan of over 20,000 people started up through Mexico. It has been reduced in size by Mexico but is still coming. Mexico must apprehend the remainder or we will be forced to close that section of the Border &amp; call up the Military. The Coyotes &amp; Cartels have weapons!"
Don,We have a massive Humanitarian Crisis at our Southern Border. We will be out for a long time unless the Democrats come back from their “vacations” and get back to work. I am in the White House ready to sign!
Hillary,"I'm excited to see @CecileRichards, @aliciagarza, @aijenpoo, and the Pantsuit Nation community build this powerful new force for gender equity. Supermajority's goal is to train and mobilize 2 million women over the next two years. https://t.co/vorkl8sMZG"
Don,Great to be back in Tennessee. On our way to the McKenzie Arena in Chattanooga for a huge #MAGARally - see everyone soon! https://t.co/RwZt5yGuE5
Don,"“You know who’s at fault for this more than anyone else, Comey, because he leaked information and laundered it through a professor at Columbia Law School. Shame on that professor, and shame on Comey. He snuck the information to a law professor who collaborated with him in........"
Hillary,43 times Donald Trump lied—or was just totally wrong—on the debate stage last night: https://t.co/yG2IVPEvpK
Barry,Tonight's budget deadline matters. Chip in now: http://t.co/16XHE5XOwG http://t.co/AGVlKVilaS
Don,"....I can’t imagine any President having a better or closer relationship with their Vice President then the two of us. Just more FAKE NEWS, the Enemy of the People!"
Barry,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"
Hillary,"""Hillary Clinton fights for us. It is now time for us to fight for Hillary.” —@ElizabethForMA https://t.co/iWKBOE1i18"
Don,"Thank you Kansas - I love you! 
https://t.co/ymCFNr9WQY"
Hillary,"We've already seen the heartbreaking damage that detention can do to kids. It's terrible to think of what could happen to them if they're held indefinitely. 

You can help by leaving a comment to protest the proposed rule here: 

https://t.co/tZaiOSFMUo"
Hillary,"I spent an afternoon visiting with retirees in Pennsylvania, and one thing is clear—they aren't buying what Donald Trump is selling. https://t.co/4uLVYttwca"
Hillary,"Trump owes President Obama an apology for his years-long racist conspiracy. 

And by the way: ""Sorry if you were offended"" doesn't count."
Barry,"Aloha, Oahu: http://t.co/nLJEkK3ohA http://t.co/ULswTs3tnZ"
Barry,"""We are blessed with the most beautiful God-given landscape in the entire world ... We have to be good stewards for it."" —President Obama"
Don,"More good news today: “Real wages for American families are soaring,” says @WhiteHouseCEA. And along with those rising wages is a drop in prices, from gasoline to prescription drugs.

Tonight's 1600 Daily: https://t.co/A68ueVC88u https://t.co/gTblKbOzLm"
Barry,"Get ready: In the State of the Union, President Obama will outline policies to help middle-class families. http://t.co/dn5fLhlreX #SOTU"
Hillary,"No one who wants to be Commander-in-Chief should be calling active military operations a ""disaster.” https://t.co/YjLRFyfE4f"
Hillary,"""If you want higher wages, better benefits...then you should be voting for Hillary Clinton."" —@POTUS: https://t.co/fDBrzSsM1Y"
Don,"Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint Base Elmendorf-Richardson. We are forever grateful for their service and sacrifice. THANK YOU! https://t.co/4REVxKUsHT"
Barry,Enter before midnight and you—and your BFF—could meet the President this fall. http://t.co/XjtDaGWXno http://t.co/hRrMiIawHe
Don,Sessions didn’t have a clue! https://t.co/XlLpnINOBv
Barry,"We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time, opening doors to others, and leaving it all on the field."
Hillary,"""Casting our vote is the ultimate way we go high when they go low.” —@FLOTUS https://t.co/tTgeqxNqYm"
Don,"“In the heartland, they want legislating, not investigating.” -@kayleighmcenany https://t.co/g6GNhJQGFS"
Barry,"Watch how one of our oldest traditions, the White House #EasterEggRoll, has evolved over the past 138 years. https://t.co/244DFJlZFk"
Barry,"This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all the victors in state legislative, county and mayors' races. Every office in a democracy counts!"
Don,"Despite No Collusion, No Obstruction, The Radical Left Democrats do not want to go on to Legislate for the good of the people, but only to Investigate and waste time. This is costing our Country greatly, and will cost the Dems big time in 2020!"
Barry,LIVE: President Obama is speaking about the rebuilding of New Orleans ten years after Hurricane Katrina. http://t.co/18U5Zv53ir #Katrina10
Don,.@DevinNunes: “I think full transparency is in order here.” #SundayFutures @MariaBartiromo https://t.co/RmjFNRysWN
Barry,Watch the President speak at 11:55 a.m. ET about ways to tackle identity theft and improve confidence in technology: http://t.co/jZ6uwEMZoW
Hillary,"This is as serious as it gets. It's up to us to save health care for millions of our fellow Americans—again. 

As Kavanaugh's hearings begin, make sure your senators hear from you: (202) 224-3121"
Barry,"""No challenge poses a greater threat to future generations than climate change."" —President Obama #SOTU #ActOnClimate"
Don,"I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important structural issues including intellectual property protection, technology transfer, agriculture, services, currency, and many other issues. As a result of these very......"
Hillary,"""Donald Trump committed perjury. Or he looked into the faces of the Republican faithful and knowingly lied."" https://t.co/enl4NTjdX4"
